# File:UrbanShare_SSP.csv
# Title: country level urban share from SSP database across SSPs
# Units:ppl, constant 2015 prices
# Source: SSP database
# Column types: cccccnnnnnnnnnn
# ----------
MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
NCAR,SSP1_v9_130115,MRT,Population|Urban|Share,%,41.434,51.16681543,59.79901353,67.05192473,72.97104238,77.74237605,81.57928455,84.67388082,87.18357483,89.23218622
NCAR,SSP1_v9_130115,MUS,Population|Urban|Share,%,41.837,51.60838802,60.34870533,67.74427948,73.80520105,78.69570472,82.6203391,85.77050464,88.30686778,90.35796615
NCAR,SSP1_v9_130115,MWI,Population|Urban|Share,%,19.769,27.452872,36.48057961,46.23294982,55.92813647,64.87237418,72.62913127,79.04153105,84.15808308,88.13796041
NCAR,SSP1_v9_130115,MYS,Population|Urban|Share,%,72.171,79.62253266,84.06724337,86.95491116,88.9606356,90.42651167,91.5407627,92.41436312,93.1165562,93.69260648
NCAR,SSP1_v9_130115,NAM,Population|Urban|Share,%,37.977,47.69086997,56.73352032,64.62685703,71.23819136,76.64715519,81.02172308,84.54485623,87.38207468,89.67168184
NCAR,SSP1_v9_130115,NER,Population|Urban|Share,%,17.109,24.02240692,32.27272515,41.33566953,50.51476941,59.16878996,66.87222269,73.44357433,78.8849447,83.30178297
NCAR,SSP1_v9_130115,NGA,Population|Urban|Share,%,49.803,58.53278662,66.31301438,72.95351809,78.45451458,82.92268256,86.50658878,89.35875475,91.61767202,93.40152492
NCAR,SSP1_v9_130115,NIC,Population|Urban|Share,%,57.319,64.85240246,71.64444918,77.52581231,82.44846153,86.45598027,89.64719606,92.14484445,94.07377762,95.54840944
NCAR,SSP1_v9_130115,NLD,Population|Urban|Share,%,82.861,85.52079855,87.91267469,90.01952952,91.84000117,93.38594364,94.6788163,95.74586316,96.61673716,97.32091159
NCAR,SSP1_v9_130115,NOR,Population|Urban|Share,%,79.411,85.30221426,90.05231147,93.55924154,95.96667197,97.53206455,98.51261379,99.11207353,99.47301766,99.68833545
NCAR,SSP1_v9_130115,NPL,Population|Urban|Share,%,18.621,26.63326929,36.09982059,46.23409924,56.11996734,65.04121491,72.63140868,78.82814292,83.75043045,87.59194363
NCAR,SSP1_v9_130115,NZL,Population|Urban|Share,%,86.2,88.35564568,89.94791434,91.16749546,92.12915289,92.90557277,93.54480688,94.07978981,94.53379807,94.9237206
